,traj1_id,traj2_id,chosen_one
0,0,0,0
1,1,1,0
2,2,2,1
3,3,3,0
4,4,4,1
5,5,5,1
6,6,6,0
7,7,7,0
8,8,8,1
9,9,9,0
10,10,10,1
11,11,11,1
12,12,12,0
13,13,13,0
14,14,14,1
15,15,15,0
16,16,16,0
17,17,17,0
18,18,18,0
19,19,19,1
20,20,20,0
21,21,21,1
22,22,22,1
23,23,23,0
24,24,24,1
25,25,25,1
26,26,26,1
27,27,27,0
28,28,28,1
29,29,29,0
30,30,30,1
31,31,31,0
32,32,32,0
33,33,33,0
34,34,34,0
35,35,35,0
36,36,36,1
37,37,37,1
38,38,38,0
39,39,39,0
40,40,40,1
41,41,41,1
42,42,42,0
43,43,43,1
44,44,44,1
45,45,45,1
46,46,46,1
47,47,47,0
48,48,48,0
49,49,49,0
50,50,50,0
51,51,51,0
52,52,52,1
53,53,53,0
54,54,54,1
55,55,55,0
56,56,56,1
57,57,57,0
58,58,58,1
59,59,59,0
60,60,60,0
61,61,61,0
62,62,62,0
63,63,63,1
64,64,64,0
65,65,65,0
66,66,66,0
67,67,67,0
68,68,68,0
69,69,69,0
70,70,70,0
71,71,71,1
72,72,72,0
73,73,73,1
74,74,74,0
75,75,75,1
76,76,76,1
77,77,77,1
78,78,78,0
79,79,79,1
80,80,80,0
81,81,81,1
82,82,82,0
83,83,83,1
84,84,84,0
85,85,85,1
86,86,86,1
87,87,87,1
88,88,88,0
89,89,89,0
90,90,90,0
91,91,91,1
92,92,92,0
93,93,93,1
94,94,94,1
95,95,95,1
96,96,96,0
97,97,97,0
98,98,98,0
99,99,99,0
